pos00,pos01,pos02,pos10,pos11,pos12,pos20,pos21,pos22,player,step,result,game_id,state
0,0,0,0,0,0,0,0,1,1,0,1,1,start
0,0,0,0,-1,0,0,0,1,-1,1,1,1,mid
1,0,0,0,-1,0,0,0,1,1,2,1,1,mid
1,0,-1,0,-1,0,0,0,1,-1,3,1,1,mid
1,0,-1,0,-1,1,0,0,1,1,4,1,1,mid
1,-1,-1,0,-1,1,0,0,1,-1,5,1,1,mid
1,-1,-1,0,-1,1,0,1,1,1,6,1,1,mid
1,-1,-1,-1,-1,1,0,1,1,-1,7,1,1,mid
1,-1,-1,-1,-1,1,1,1,1,1,8,1,1,end
0,0,0,0,0,0,1,0,0,1,0,1,2,start
0,0,0,-1,0,0,1,0,0,-1,1,1,2,mid
0,0,0,-1,0,0,1,0,1,1,2,1,2,mid
-1,0,0,-1,0,0,1,0,1,-1,3,1,2,mid
-1,0,1,-1,0,0,1,0,1,1,4,1,2,mid
-1,0,1,-1,-1,0,1,0,1,-1,5,1,2,mid
-1,1,1,-1,-1,0,1,0,1,1,6,1,2,mid
-1,1,1,-1,-1,0,1,-1,1,-1,7,1,2,mid
-1,1,1,-1,-1,1,1,-1,1,1,8,1,2,end
1,0,0,0,0,0,0,0,0,1,0,1,3,start
1,0,0,0,0,-1,0,0,0,-1,1,1,3,mid
1,0,0,0,0,-1,1,0,0,1,2,1,3,mid
1,-1,0,0,0,-1,1,0,0,-1,3,1,3,mid
1,-1,0,0,1,-1,1,0,0,1,4,1,3,mid
1,-1,-1,0,1,-1,1,0,0,-1,5,1,3,mid
1,-1,-1,0,1,-1,1,1,0,1,6,1,3,mid
1,-1,-1,-1,1,-1,1,1,0,-1,7,1,3,mid
1,-1,-1,-1,1,-1,1,1,1,1,8,1,3,end
1,0,0,0,0,0,0,0,0,1,0,0,4,start
1,0,0,0,0,0,0,0,-1,-1,1,0,4,mid
1,0,0,0,1,0,0,0,-1,1,2,0,4,mid
1,0,0,-1,1,0,0,0,-1,-1,3,0,4,mid
1,0,0,-1,1,0,0,1,-1,1,4,0,4,mid
1,0,0,-1,1,0,-1,1,-1,-1,5,0,4,mid
1,0,0,-1,1,1,-1,1,-1,1,6,0,4,mid
1,-1,0,-1,1,1,-1,1,-1,-1,7,0,4,mid
1,-1,1,-1,1,1,-1,1,-1,1,8,0,4,end
1,0,0,0,0,0,0,0,0,1,0,-1,5,start
1,0,0,0,0,0,-1,0,0,-1,1,-1,5,mid
1,1,0,0,0,0,-1,0,0,1,2,-1,5,mid
1,1,0,0,0,-1,-1,0,0,-1,3,-1,5,mid
1,1,0,0,1,-1,-1,0,0,1,4,-1,5,mid
1,1,0,0,1,-1,-1,0,-1,-1,5,-1,5,mid
1,1,0,1,1,-1,-1,0,-1,1,6,-1,5,mid
1,1,-1,1,1,-1,-1,0,-1,-1,7,-1,5,end
0,0,0,0,0,0,0,0,1,1,0,-1,6,start
0,0,0,-1,0,0,0,0,1,-1,1,-1,6,mid
0,0,0,-1,1,0,0,0,1,1,2,-1,6,mid
0,-1,0,-1,1,0,0,0,1,-1,3,-1,6,mid
0,-1,0,-1,1,1,0,0,1,1,4,-1,6,mid
-1,-1,0,-1,1,1,0,0,1,-1,5,-1,6,mid
-1,-1,0,-1,1,1,1,0,1,1,6,-1,6,mid
-1,-1,-1,-1,1,1,1,0,1,-1,7,-1,6,end
1,0,0,0,0,0,0,0,0,1,0,1,7,start
1,-1,0,0,0,0,0,0,0,-1,1,1,7,mid
1,-1,0,0,0,0,1,0,0,1,2,1,7,mid
1,-1,0,-1,0,0,1,0,0,-1,3,1,7,mid
1,-1,1,-1,0,0,1,0,0,1,4,1,7,mid
1,-1,1,-1,0,0,1,0,-1,-1,5,1,7,mid
1,-1,1,-1,1,0,1,0,-1,1,6,1,7,end
0,0,0,0,1,0,0,0,0,1,0,1,8,start
0,0,0,-1,1,0,0,0,0,-1,1,1,8,mid
0,0,1,-1,1,0,0,0,0,1,2,1,8,mid
0,0,1,-1,1,-1,0,0,0,-1,3,1,8,mid
0,1,1,-1,1,-1,0,0,0,1,4,1,8,mid
-1,1,1,-1,1,-1,0,0,0,-1,5,1,8,mid
-1,1,1,-1,1,-1,0,1,0,1,6,1,8,end
0,0,0,0,0,0,1,0,0,1,0,1,9,start
0,0,0,0,-1,0,1,0,0,-1,1,1,9,mid
0,0,0,0,-1,1,1,0,0,1,2,1,9,mid
0,-1,0,0,-1,1,1,0,0,-1,3,1,9,mid
0,-1,0,0,-1,1,1,0,1,1,4,1,9,mid
-1,-1,0,0,-1,1,1,0,1,-1,5,1,9,mid
-1,-1,1,0,-1,1,1,0,1,1,6,1,9,end
0,0,0,0,0,1,0,0,0,1,0,1,10,start
0,0,0,0,-1,1,0,0,0,-1,1,1,10,mid
0,0,1,0,-1,1,0,0,0,1,2,1,10,mid
0,0,1,-1,-1,1,0,0,0,-1,3,1,10,mid
0,0,1,-1,-1,1,0,1,0,1,4,1,10,mid
0,0,1,-1,-1,1,0,1,-1,-1,5,1,10,mid
1,0,1,-1,-1,1,0,1,-1,1,6,1,10,mid
1,0,1,-1,-1,1,-1,1,-1,-1,7,1,10,mid
1,1,1,-1,-1,1,-1,1,-1,1,8,1,10,end
0,0,0,0,0,0,0,0,1,1,0,1,11,start
0,0,-1,0,0,0,0,0,1,-1,1,1,11,mid
0,0,-1,1,0,0,0,0,1,1,2,1,11,mid
0,-1,-1,1,0,0,0,0,1,-1,3,1,11,mid
0,-1,-1,1,1,0,0,0,1,1,4,1,11,mid
0,-1,-1,1,1,0,-1,0,1,-1,5,1,11,mid
0,-1,-1,1,1,1,-1,0,1,1,6,1,11,end
1,0,0,0,0,0,0,0,0,1,0,1,12,start
1,0,0,0,0,-1,0,0,0,-1,1,1,12,mid
1,0,1,0,0,-1,0,0,0,1,2,1,12,mid
1,0,1,0,-1,-1,0,0,0,-1,3,1,12,mid
